sp,lat,lon
"Cebus_apella",-13.05527,-71.54506
"Cebus_apella",-25.6898,-54.44421
"Cebus_apella",5.33823,-59.94595
"Cebus_apella",-20.26606,-56.30459
"Cebus_apella",-9.87792,-56.09711
"Cebus_apella",-9.5976,-55.93115
"Cebus_apella",-20.11444,-55.95419
"Cebus_apella",-25.66005,-54.50238
"Cebus_apella",-25.69796,-54.21961
"Cebus_apella",-25.68119,-54.21764
"Cebus_apella",-25.68034,-54.31106
"Cebus_apella",-25.68194,-54.31138
"Cebus_apella",-25.68398,-54.19914
"Cebus_apella",-25.67276,-54.25179
"Cebus_apella",-25.70669,-54.41978
"Cebus_apella",-25.67278,-54.41594
"Cebus_apella",-25.67515,-54.41477
"Cebus_apella",-25.68489,-54.41556
"Cebus_apella",-25.69082,-54.32404
"Cebus_apella",-25.68117,-54.27166
"Cebus_apella",-25.59777,-54.37955
"Cebus_apella",-25.68174,-54.41866
"Cebus_apella",-25.61914,-54.34602
"Cebus_apella",-25.66438,-54.42108
"Cebus_apella",-25.60372,-54.36728
"Cebus_apella",-25.68408,-54.4168
"Cebus_apella",-25.59653,-54.37293
"Cebus_apella",-25.67949,-54.42137
"Cebus_apella",-25.62105,-54.3447
"Cebus_apella",4.60917,-67.86444
"Cebus_apella",-19.83194,-40.36972
"Cebus_apella",-25.69973,-54.16888
"Cebus_apella",-25.68582,-54.16518
"Cebus_apella",1.41667,-58.95
"Cebus_apella",-25.6816,-54.45107
"Cebus_apella",-25.60077,-54.53768
"Cebus_apella",1.65639,-76.18694
"Cebus_apella",1.67444,-76.07389
"Cebus_apella",-9.59833,-55.93619
"Cebus_apella",4.51667,-68.08334
"Cebus_apella",-23.69944,-64.8658
"Cebus_apella",-13.26807,-68.5625
"Cebus_apella",-25.68425,-54.44764
"Cebus_apella",-25.65527,-54.45756
"Cebus_apella",-23.7426,-64.85277
"Cebus_apella",-25.69388,-54.43045
"Cebus_apella",-23.75927,-64.85032
"Cebus_apella",-25.68155,-54.22016
"Cebus_apella",-25.68409,-54.44675
"Cebus_apella",-25.68385,-54.44569
"Cebus_apella",-25.68436,-54.44663
"Cebus_apella",3.192,-58.812
"Cebus_apella",3.268,-58.779
"Cebus_apella",-22.95227,-43.21176
"Cebus_apella",-25.68712,-54.68712
"Cebus_apella",-25.6872,-54.44576
"Cebus_apella",-25.69075,-54.47803
"Cebus_apella",-25.98251,-54.1149
"Cebus_apella",-3.35583,-54.94944
"Cebus_apella",-11.78,-73.341
"Cebus_apella",-15.1,-67.51667
"Cebus_apella",4.58333,-73.41667
"Cebus_apella",4.28333,-58.51667
"Cebus_apella",-11.56,-73.641
"Cebus_apella",-15.11667,-67.13333
"Cebus_apella",7.36667,-60.48333
"Cebus_apella",-17.15,-65.62
"Cebus_apella",-24.13333,-56.93333
"Cebus_apella",-24.13333,-55.53333
"Cebus_apella",-24.16667,-56.96667
"Cebus_apella",-7.15,-75.73333
"Cebus_apella",-12.517,-68.7
"Cebus_apella",-12.7,-68.8
"Cebus_apella",1.37,-58.77
"Cebus_apella",-26.35,-55.51667
"Cebus_apella",-20.712,-64.305
"Cebus_apella",-25.68577,-54.48241
"Cebus_apella",-26.11667,-55.73333
"Cebus_apella",-2.5,-60
"Cebus_apella",3.25,-59.25
"Cebus_apella",-25.66615,-54.44991
"Cebus_apella",-25.98531,-54.08097
"Cebus_apella",-25.95906,-54.2335
"Cebus_apella",2.74222,-74.03778
"Cebus_apella",-25.61111,-54.15544
"Cebus_apella",-25.94563,-54.21546
"Cebus_apella",-12.838,-69.295
"Cebus_apella",-13.503,-69.683
"Cebus_apella",-12.957,-68.882
"Cebus_apella",-13.142,-69.607
"Cebus_apella",-12.807,-68.827
"Cebus_apella",-12.658,-68.738
"Cebus_apella",-10.767,-66.733
"Cebus_apella",-10.667,-66.85
"Cebus_apella",-9.867,-65.7
"Cebus_apella",-10.954,-66.833
"Cebus_apella",-12.955,-68.913
"Cebus_apella",-13,-69.083
"Cebus_apella",-14.73,-62.8
"Cebus_apella",-13.55,-61
"Cebus_apella",-27.37131,-55.65007
"Cebus_apella",-22.78028,-48.11972
"Cebus_apella",-25.67323,-54.49336
"Cebus_apella",-2.41667,-59.75
"Cebus_apella",-12.175,-71
"Cebus_apella",1.72651,-75.55975
"Cebus_apella",-18.45,-63.53333
"Cebus_apella",4.77672,-71.26163
"Cebus_apella",-22.9,-47.06
"Cebus_apella",-12.88333,-69.28333
"Cebus_apella",-3.30578,-74.62296
"Cebus_apella",-4.28333,-74.31667
"Cebus_apella",-15.00833,-59.95056
"Cebus_apella",-11.16667,-69.05
"Cebus_apella",-27.0611,-56.3833
"Cebus_apella",-24.45,-55.65
"Cebus_apella",-27.1707,-55.8246
"Cebus_apella",-22.74549,-55.80921
"Cebus_apella",-4.92,-55.6
"Cebus_apella",-1.03,-54.78
"Cebus_apella",-24.55,-55.7
"Cebus_apella",-27.15893,-57.65
"Cebus_apella",-1.03,-57.15
"Cebus_apella",-2.43,-54.7
"Cebus_apella",-9.17,-60.63
"Cebus_apella",-5.67,-56.75
"Cebus_apella",3.12509,-73.75237
"Cebus_apella",-1.42,-51.65
"Cebus_apella",-7.52,-63.03
"Cebus_apella",3.17744,-73.86793
"Cebus_capucinus",7.62699,-81.72918
"Cebus_capucinus",10.42327,-84.02203
"Cebus_capucinus",7.77833,-76.67253
"Cebus_capucinus",7.77458,-76.67417
"Cebus_capucinus",9.98462,-75.54492
"Cebus_capucinus",9.38214,-84.14418
"Cebus_capucinus",9.13309,-79.79267
"Cebus_capucinus",10.30585,-84.81456
"Cebus_capucinus",9.13097,-79.78975
"Cebus_capucinus",10.4313,-84.00522
"Cebus_capucinus",9.78193,-84.587
"Cebus_capucinus",11.03508,-85.05493
"Cebus_capucinus",8.66317,-83.25422
"Cebus_capucinus",9.56707,-75.49933
"Cebus_capucinus",8.36669,-83.24495
"Cebus_capucinus",8.69184,-83.66741
"Cebus_capucinus",10.08785,-84.92432
"Cebus_capucinus",10.76412,-75.1573
"Cebus_capucinus",9.39478,-84.15566
"Cebus_capucinus",9.5,-84.21667
"Cebus_capucinus",10.4958,-85.35496
"Cebus_capucinus",10.82168,-84.70519
"Cebus_capucinus",9.13597,-83.72019
"Cebus_capucinus",8.67458,-82.2196
"Cebus_capucinus",9.70064,-84.6592
"Cebus_capucinus",3.83108,-76.86768
"Cebus_capucinus",9.12108,-79.79027
"Cebus_capucinus",10.54756,-83.50587
"Cebus_capucinus",9.73748,-82.81769
"Cebus_capucinus",10.48783,-84.75414
"Cebus_capucinus",10.58485,-83.52781
"Cebus_capucinus",9.7288,-82.82367
"Cebus_capucinus",7.2291,-76.54669
"Cebus_capucinus",9.39231,-84.13699
"Cebus_capucinus",10.38341,-85.3343
"Cebus_capucinus",10.59515,-83.53017
"Cebus_capucinus",9.3822,-84.14534
"Cebus_capucinus",11.51414,-85.58179
"Cebus_capucinus",8.35249,-77.11072
"Cebus_capucinus",8.57522,-76.81268
"Cebus_capucinus",8.61304,-76.85709
"Cebus_capucinus",8.5381,-76.8201
"Cebus_capucinus",8.35975,-77.12513
"Cebus_capucinus",7.31658,-76.4412
"Cebus_capucinus",7.22736,-76.49831
"Cebus_capucinus",7.25435,-76.42208
"Cebus_capucinus",10.83841,-85.61819
"Cebus_capucinus",10.64327,-85.64853
"Cebus_capucinus",10.34613,-85.33996
"Cebus_capucinus",9.39419,-84.14017
"Cebus_capucinus",9.26047,-84.04225
"Cebus_capucinus",9.70176,-84.65915
"Cebus_capucinus",9.69682,-84.65813
"Cebus_capucinus",10.41235,-84.02155
"Cebus_capucinus",8.44487,-83.52802
"Cebus_capucinus",8.48018,-83.58982
"Cebus_capucinus",9.91618,-84.28376
"Cebus_capucinus",9.33006,-83.92604
"Cebus_capucinus",8.493,-76.026
"Cebus_capucinus",9.13511,-79.71834
"Cebus_capucinus",9.38158,-84.14446
"Cebus_capucinus",9.39756,-84.16303
"Cebus_capucinus",9.25343,-83.8526
"Cebus_capucinus",9.3813,-84.1442
"Cebus_capucinus",10.44077,-83.48569
"Cebus_capucinus",9.78062,-84.60323
"Cebus_capucinus",10.14056,-85.13158
"Cebus_capucinus",7.85598,-77.1371
"Cebus_capucinus",7.85357,-77.13386
"Cebus_capucinus",7.8367,-77.14635
"Cebus_capucinus",10.29904,-85.29167
"Cebus_capucinus",10.34506,-83.46022
"Cebus_capucinus",7.82691,-77.15672
"Cebus_capucinus",7.84191,-77.13403
"Cebus_capucinus",7.83198,-77.15461
"Cebus_capucinus",10.36035,-83.39533
"Cebus_capucinus",7.83361,-77.1449
"Cebus_capucinus",7.85189,-77.16089
"Cebus_capucinus",7.86457,-77.13594
"Cebus_capucinus",7.84928,-77.14358
"Cebus_capucinus",7.84702,-77.1335
"Cebus_capucinus",7.84524,-77.13787
"Cebus_capucinus",7.86084,-77.13408
"Cebus_capucinus",7.82401,-77.15462
"Cebus_capucinus",7.84522,-77.13282
"Cebus_capucinus",7.83134,-77.14735
"Cebus_capucinus",7.86895,-77.13631
"Cebus_capucinus",7.84463,-77.14117
"Cebus_capucinus",9.38369,-84.14154
"Cebus_capucinus",9.41164,-84.15495
"Cebus_capucinus",7.87221,-77.13618
"Cebus_capucinus",7.87669,-77.137
"Cebus_capucinus",7.83607,-77.13587
"Cebus_capucinus",9.34203,-82.16949
"Cebus_capucinus",2.97571,-78.17137
"Cebus_capucinus",2.96714,-78.17467
"Cebus_capucinus",2.97078,-78.17669
"Cebus_capucinus",2.97058,-78.18247
"Cebus_capucinus",2.94956,-78.18061
"Cebus_capucinus",2.97389,-78.18167
"Cebus_capucinus",10.61932,-83.51337
"Cebus_capucinus",2.94114,-78.19442
"Cebus_capucinus",2.96584,-78.18445
"Cebus_capucinus",2.97377,-78.18374
"Cebus_capucinus",10.31395,-84.80123
"Cebus_capucinus",2.94234,-78.19615
"Cebus_capucinus",2.97433,-78.18353
"Cebus_capucinus",2.9494,-78.19718
"Cebus_capucinus",2.98456,-78.17156
"Cebus_capucinus",9.39665,-84.16961
"Cebus_capucinus",8.44766,-83.48844
"Cebus_capucinus",10.83692,-85.6188
"Cebus_capucinus",9.38087,-84.13726
"Cebus_capucinus",8.48521,-83.58907
"Cebus_capucinus",10.77126,-85.34174
"Cebus_capucinus",7.89598,-76.11842
"Cebus_capucinus",9.80921,-83.04291
"Cebus_capucinus",10.54111,-83.50222
"Cebus_capucinus",7.62697,-81.73004
"Cebus_capucinus",2.96975,-78.1765
"Sapajus_nigritus",-22.43192,-44.61496
"Sapajus_nigritus",-25.85799,-54.16945
"Sapajus_nigritus",-21.66667,-49.75
"Sapajus_nigritus",-15.75,-49.33333
"Cebus_olivaceus",8.93086,-68.07841
"Cebus_olivaceus",8.93362,-68.08217
"Cebus_olivaceus",9.24987,-68.14888
"Cebus_olivaceus",8.93391,-68.08502
"Cebus_olivaceus",8.25,-59.73333
"Cebus_olivaceus",3.268,-58.779
"Cebus_olivaceus",3.192,-58.812
"Cebus_olivaceus",8.93333,-68.05
"Cebus_olivaceus",8.75,-68.5
"Cebus_olivaceus",3.25,-59.25
"Cebus_olivaceus",4.55,-61.42
"Cebus_olivaceus",4.42,-61.58
"Cebus_olivaceus",9.32,-62.93
"Cebus_olivaceus",10.9,-68.77
"Cebus_olivaceus",3.62,-65.68
"Cebus_olivaceus",3.65,-65.77
"Cebus_olivaceus",3.5,-65.72
"Cebus_olivaceus",6.82,-63.48
"Cebus_olivaceus",7.5,-65.78
"Cebus_olivaceus",5.3,-66.22
"Cebus_olivaceus",5.13,-66.27
"Cebus_olivaceus",5.4,-67.65
"Cebus_olivaceus",6.55,-67.22
"Cebus_olivaceus",7.18,-62.37
"Cebus_olivaceus",7.07,-62.28
"Cebus_olivaceus",7,-62.25
"Cebus_olivaceus",6.32,-61.32
"Cebus_olivaceus",6.28,-61.32
"Cebus_olivaceus",3.18,-65.55
"Cebus_olivaceus",10.62,-68.4
"Cebus_olivaceus",1.8,-58.26667
"Cebus_olivaceus",3.38333,-57.6
"Cebus_olivaceus",3.75,-56.5
"Cebus_olivaceus",2.83333,-59.51666
"Cebus_olivaceus",3.3,-58.75
"Cebus_olivaceus",7.21028,-72.31028
"Cebus_olivaceus",3.35,-55.45
"Cebus_olivaceus",5.13333,-55.48333
"Cebus_olivaceus",10.4,-67.77
"Cebus_olivaceus",4.71667,-59.7
"Cebus_olivaceus",3.11667,-56.45
"Cebus_olivaceus",38.1306127936854,-121.281916562456
"Cebus_olivaceus",9.6,-61.18333
"Cebus_olivaceus",5.98333,-58.55
"Cebus_olivaceus",6.46667,-58.95
"Cebus_olivaceus",8.58333,-62.11667
"Cebus_olivaceus",7.86667,-65.55
"Cebus_olivaceus",7.61667,-66.16667
"Cebus_olivaceus",6.8,-58.16667
"Cebus_olivaceus",8.5667,-67.5833
"Sapajus_xanthosternos",-15.85,-38.9
"Sapajus_xanthosternos",-14.3,-43.78
"Sapajus_xanthosternos",-14.82,-39.03
"Saimiri_boliviensis",-12.51887,-71.18008
"Saimiri_boliviensis",-12.80295,-69.29884
"Saimiri_boliviensis",-12.78715,-69.33187
"Saimiri_boliviensis",-14.37827,-65.09578
"Saimiri_boliviensis",-12.86611,-69.4996
"Saimiri_boliviensis",-12.66833,-71.269
"Saimiri_boliviensis",-6.76667,-70.86667
"Saimiri_boliviensis",-17.23333,-63.31667
"Saimiri_boliviensis",-14.53333,-64.21667
"Saimiri_boliviensis",-3.30578,-74.62296
"Saimiri_boliviensis",-11.16667,-69.05
"Saimiri_boliviensis",-10.133,-71.217
"Saimiri_boliviensis",-12.2,-71.13333
"Saimiri_boliviensis",-4.83333,-74.21667
"Saimiri_boliviensis",-12.65,-70.33333
"Saimiri_boliviensis",-12.78333,-71.21667
"Saimiri_boliviensis",-13.26667,-70.63333
"Saimiri_boliviensis",-8.3,-74.6
"Saimiri_boliviensis",-17.45,-63.66667
"Saimiri_boliviensis",-6.66667,-69.86667
"Saimiri_boliviensis",-3.76667,-73.25
"Saimiri_boliviensis",-9.3,-75.98333
"Saimiri_boliviensis",-16.8,-65.13333
"Saimiri_boliviensis",-23.16261,-65.70486
"Saimiri_boliviensis",-3.72191,-73.26687
"Saimiri_boliviensis",-5.25,-74.67
"Saimiri_boliviensis",-6.08,-74.80
"Saimiri_boliviensis",-8.38,-74.52
"Saimiri_boliviensis",-6.77,-70.87
"Saimiri_boliviensis",-8.57,-72.80
"Saimiri_boliviensis",-14.80,-64.23
"Saimiri_boliviensis",-3.19,-65.97
"Saimiri_boliviensis",-7.44,-67.44
"Saimiri_boliviensis",-7.46,-67.69
"Saimiri_oerstedii",8.3438,-83.24207
"Saimiri_oerstedii",8.44912,-83.58943
"Saimiri_oerstedii",8.62545,-83.62979
"Saimiri_oerstedii",8.59978,-83.45582
"Saimiri_oerstedii",9.37114,-84.01677
"Saimiri_oerstedii",9.38696,-84.18089
"Saimiri_oerstedii",8.44487,-83.52802
"Saimiri_oerstedii",8.48018,-83.58982
"Saimiri_oerstedii",9.3915,-84.1455
"Saimiri_oerstedii",8.49506,-83.75058
"Saimiri_oerstedii",9.41164,-84.15495
"Saimiri_oerstedii",10.27438,-83.43086
"Saimiri_oerstedii",9.26047,-84.04225
"Saimiri_oerstedii",9.38369,-84.14154
"Saimiri_oerstedii",9.36018,-84.11056
"Saimiri_oerstedii",8.56695,-83.59878
"Saimiri_oerstedii",9.38582,-84.11867
"Saimiri_oerstedii",34.41944,-119.66306
"Saimiri_oerstedii",8.4,-82.55
"Saimiri_oerstedii",9,-79.1
"Saimiri_oerstedii",8.43333,-82.43333
"Saimiri_oerstedii",9.51667,-84.31667
"Saimiri_oerstedii",8.965,-83.057
"Saimiri_oerstedii",8.64420291000789,-82.977855578582
"Saimiri_oerstedii",8.96,-83.52533
"Saimiri_oerstedii",10.2,-84.9
"Saimiri_oerstedii",8.5,-82.56667
"Saimiri_sciureus",-0.67055,-76.40206
"Saimiri_sciureus",-0.01305,-76.18045
"Saimiri_sciureus",-1.05664,-77.52487
"Saimiri_sciureus",-3.27134,-72.88827
"Saimiri_sciureus",5.798,-55.118
"Saimiri_sciureus",-4.23412,-70.67779
"Saimiri_sciureus",-12.65585,-71.23174
"Saimiri_sciureus",-1.03577,-77.65792
"Saimiri_sciureus",-3.61485,-72.23648
"Saimiri_sciureus",-5.99418,-77.18446
"Saimiri_sciureus",4.22595,-73.5767
"Saimiri_sciureus",-3.24712,-72.91626
"Saimiri_sciureus",-3.44797,-72.84794
"Saimiri_sciureus",-3.79481,-70.34303
"Saimiri_sciureus",-0.49892,-76.37169
"Saimiri_sciureus",-0.2081,-75.80493
"Saimiri_sciureus",-1.10065,-75.80691
"Saimiri_sciureus",-12.55482,-70.10763
"Saimiri_sciureus",-0.47824,-76.47554
"Saimiri_sciureus",4.00533,-69.89875
"Saimiri_sciureus",3.192,-58.812
"Saimiri_sciureus",3.268,-58.779
"Saimiri_sciureus",-12.517,-68.7
"Saimiri_sciureus",1.37,-58.77
"Saimiri_sciureus",-13.13,-69.58
"Saimiri_sciureus",-0.56667,-75.28333
"Saimiri_sciureus",3.25,-59.25
"Saimiri_sciureus",-8.56667,-72.8
"Saimiri_sciureus",-12.838,-69.295
"Saimiri_sciureus",-12.957,-68.882
"Saimiri_sciureus",-12.807,-68.827
"Saimiri_sciureus",-13.142,-69.607
"Saimiri_sciureus",-10.767,-66.733
"Saimiri_sciureus",-12.658,-68.738
"Saimiri_sciureus",-9.786,-65.525
"Saimiri_sciureus",-0.53333,-75.5
"Saimiri_sciureus",-6.83333,-70.08333
"Saimiri_sciureus",2.46478,-71.91375
"Saimiri_sciureus",-15,-65.65
"Saimiri_sciureus",29.4556,-98.4728
"Saimiri_sciureus",-17.38333,-63.53333
"Saimiri_sciureus",-3.71667,-73.2
"Saimiri_sciureus",-11.885,-71.409
"Saimiri_sciureus",34.41944,-119.66306
"Saimiri_sciureus",-4.28333,-74.31667
"Saimiri_sciureus",-4.45,-78.26667
"Saimiri_sciureus",-4.45667,-78.15333
"Saimiri_sciureus",-1.98,-54.78
"Saimiri_sciureus",3.12509,-73.75237
"Saimiri_sciureus",-4,-54.67
"Saimiri_sciureus",2,-50
"Saimiri_sciureus",3.17744,-73.86793
"Saimiri_sciureus",5.48967,-58.25
"Saimiri_sciureus",-5.41541,-78.49628
"Saimiri_sciureus",4.21528,-69.94056
"Saimiri_sciureus",3.65,-65.77
"Saimiri_sciureus",2.5,-65.22
"Saimiri_sciureus",2.25,-65.28
"Saimiri_sciureus",3.17,-65.82
"Saimiri_sciureus",2.62,-66.32
"Saimiri_sciureus",5.3,-66.22
"Saimiri_sciureus",-5.53,-47.48
"Saimiri_sciureus",-6.09,-49.54
"Saimiri_sciureus",-2.47,-56.01
"Saimiri_sciureus",-2.48,-56.16
"Saimiri_sciureus",-2.57,-57.87
"Saimiri_sciureus",-2.58,-51.92
"Saimiri_sciureus",-1.08,-57.03
"Saimiri_sciureus",-2.02,-58.33
"Saimiri_sciureus",-0.65,-52.51
"Saimiri_sciureus",0.32,-52.43
"Saimiri_sciureus",1.84,-52.74
"Saimiri_sciureus",2.83,-59.52
"Saimiri_ustus",-9.17,-60.63
"Saimiri_ustus",-2.9,-55.08333
"Saimiri_ustus",-2.43333,-54.7
"Saimiri_ustus",-3.66667,-55.5
"Saimiri_ustus",-3.41667,-55.21667
"Saimiri_ustus",-3.3,-58.25
"Saimiri_ustus",-7.53666667,-62.72944444
"Saimiri_ustus",-7.43805556,-62.91583333
"Saimiri_ustus",-8.05638889,-62.86138889
"Saimiri_ustus",-8.73277778,-63.48305556
"Saimiri_ustus",-3.79,-64.05
"Saimiri_ustus",-8.45,-63.50
"Saimiri_ustus",-8.76,-63.90
"Saimiri_ustus",-6.31,-65.51
"Saimiri_ustus",-9.17,-60.63
"Saimiri_ustus",-9.36,-62.59
"Saimiri_ustus",-11.67,-61.19
"Saimiri_ustus",-12.50,-63.58
"Saimiri_ustus",-5.76,-60.26
"Cebus_albifrons",-2.47184,-72.56023
"Cebus_albifrons",-3.79123,-70.20803
"Cebus_albifrons",-3.73487,-70.21888
"Cebus_albifrons",-1.0354,-77.66541
"Cebus_albifrons",-5.20833,-75.46897
"Cebus_albifrons",-0.49892,-76.37169
"Cebus_albifrons",-1.10065,-75.80691
"Cebus_albifrons",6.90561,-71.16839
"Cebus_albifrons",6.90556,-71.16864
"Cebus_albifrons",6.90575,-71.16825
"Cebus_albifrons",7.49889,-73.77222
"Cebus_albifrons",-3.78496,-70.19216
"Cebus_albifrons",-3.88008,-70.30313
"Cebus_albifrons",-4.1752,-70.04663
"Cebus_albifrons",-3.89224,-69.94197
"Cebus_albifrons",-3.88529,-69.9299
"Cebus_albifrons",6.90703,-71.16692
"Cebus_albifrons",6.90558,-71.16842
"Cebus_albifrons",6.93581,-71.16417
"Cebus_albifrons",6.90756,-71.16697
"Cebus_albifrons",-1.03164,-77.66662
"Cebus_albifrons",-3.97573,-69.95638
"Cebus_albifrons",-3.90024,-69.93292
"Cebus_albifrons",-3.90244,-69.93741
"Cebus_albifrons",-3.90245,-69.93279
"Cebus_albifrons",-3.8923,-70.28089
"Cebus_albifrons",-3.90494,-69.94084
"Cebus_albifrons",-3.89982,-69.93295
"Cebus_albifrons",-4.05102,-70.00602
"Cebus_albifrons",-1.03002,-77.67128
"Cebus_albifrons",9.53417,-75.35222
"Cebus_albifrons",-3.71724,-70.21153
"Cebus_albifrons",0.86667,-77.5
"Cebus_albifrons",9.53417,-75.35222
"Cebus_albifrons",9.53417,-75.35222
"Cebus_albifrons",-3.77828,-70.19921
"Cebus_albifrons",-3.73388,-70.20176
"Cebus_albifrons",9.53417,-75.35222
"Cebus_albifrons",-3.77098,-70.19886
"Cebus_albifrons",-3.76999,-70.19972
"Cebus_albifrons",6.20597,-74.85342
"Cebus_albifrons",-3.72786,-70.21615
"Cebus_albifrons",-3.7943,-70.21112
"Cebus_albifrons",-3.71346,-70.20224
"Cebus_albifrons",-3.71194,-70.29801
"Cebus_albifrons",-3.76859,-70.19988
"Cebus_albifrons",-3.71013,-70.28946
"Cebus_albifrons",-3.72941,-70.29652
"Cebus_albifrons",4.55889,-68.19778
"Cebus_albifrons",-3.69242,-70.3419
"Cebus_albifrons",-3.68587,-70.34976
"Cebus_albifrons",4.55889,-68.19778
"Cebus_albifrons",-3.71358,-70.20732
"Cebus_albifrons",4.55889,-68.19778
"Cebus_albifrons",4.55889,-68.19778
"Cebus_albifrons",-3.69611,-70.33913
"Cebus_albifrons",-3.7825,-70.19742
"Cebus_albifrons",-3.76524,-70.19937
"Cebus_albifrons",-3.76999,-70.19972
"Cebus_albifrons",-3.7827,-70.1983
"Cebus_albifrons",-3.7433,-70.29688
"Cebus_albifrons",-3.78564,-70.19075
"Cebus_albifrons",-3.69513,-70.33944
"Cebus_albifrons",-3.68052,-70.34293
"Cebus_albifrons",-3.7827,-70.1983
"Cebus_albifrons",-3.69047,-70.34361
"Cebus_albifrons",-3.6992,-70.29311
"Cebus_albifrons",-3.69513,-70.33944
"Cebus_albifrons",-3.71423,-70.20769
"Cebus_albifrons",-3.71584,-70.20855
"Cebus_albifrons",-3.67913,-70.34407
"Cebus_albifrons",-3.71509,-70.29857
"Cebus_albifrons",-3.77186,-70.1988
"Cebus_albifrons",-3.77293,-70.1984
"Cebus_albifrons",-3.71509,-70.29857
"Cebus_albifrons",-3.67747,-70.3577
"Cebus_albifrons",-3.73418,-70.20342
"Cebus_albifrons",-3.73423,-70.20659
"Cebus_albifrons",10.39884,-61.03111
"Cebus_albifrons",-3.73467,-70.21525
"Cebus_albifrons",-3.74582,-70.22359
"Cebus_albifrons",-3.70959,-70.29677
"Cebus_albifrons",-3.77543,-70.19946
"Cebus_albifrons",-3.73195,-70.19354
"Cebus_albifrons",-3.68052,-70.34293
"Cebus_albifrons",-3.68052,-70.34293
"Cebus_albifrons",-3.75764,-70.2287
"Cebus_albifrons",-3.74565,-70.22301
"Cebus_albifrons",-3.72077,-70.21329
"Cebus_albifrons",-3.68174,-70.34159
"Cebus_albifrons",-3.72077,-70.21329
"Cebus_albifrons",-3.70233,-70.29365
"Cebus_albifrons",-3.71921,-70.2132
"Cebus_albifrons",-3.73464,-70.20445
"Cebus_albifrons",-3.73189,-70.19524
"Cebus_albifrons",-3.76524,-70.19937
"Cebus_albifrons",4.51667,-68.08334
"Cebus_albifrons",4.51667,-68.08334
"Cebus_albifrons",7.13545,-75.15528
"Cebus_albifrons",-11.78,-73.341
"Cebus_albifrons",0.46833,-77.28555
"Cebus_albifrons",0.57873,-77.33159
"Cebus_albifrons",-11.56,-73.641
"Cebus_albifrons",-12.517,-68.7
"Cebus_albifrons",-7.08652,-75.64842
"Cebus_albifrons",-7.08716,-75.66078
"Cebus_albifrons",-7.08652,-75.64842
"Cebus_albifrons",-3.9,-78.42
"Cebus_albifrons",-3.9,-78.42
"Cebus_albifrons",-3.917,-78.433
"Cebus_albifrons",-3.23333,-72.91667
"Cebus_albifrons",-4.283,-78.633
"Cebus_albifrons",-3.483,-78.233
"Cebus_albifrons",-8.66667,-72.78333
"Cebus_albifrons",-12.838,-69.295
"Cebus_albifrons",-13.142,-69.607
"Cebus_albifrons",-13,-69.083
"Cebus_albifrons",-10.767,-66.733
"Cebus_albifrons",-9.786,-65.525
"Cebus_albifrons",-1.567,-80.717
"Cebus_albifrons",-2.167,-80.033
"Cebus_albifrons",-12.1214,-71.0891
"Cebus_albifrons",-0.033,-79.967
"Cebus_albifrons",-1.33333,-79.58333
"Cebus_albifrons",-1.333,-79.583
